id,full_name,nic_number,license_number,phone,address,is_active
1,Driver 1,000000001V,LIC-000001,0770000001,"No 1, Driver Street, Colombo",1
2,Driver 2,000000002V,LIC-000002,0770000002,"No 2, Driver Street, Colombo",1
3,Driver 3,000000003V,LIC-000003,0770000003,"No 3, Driver Street, Colombo",1
4,Driver 4,000000004V,LIC-000004,0770000004,"No 4, Driver Street, Colombo",1
5,Driver 5,000000005V,LIC-000005,0770000005,"No 5, Driver Street, Colombo",1
6,Driver 6,000000006V,LIC-000006,0770000006,"No 6, Driver Street, Colombo",1
7,Driver 7,000000007V,LIC-000007,0770000007,"No 7, Driver Street, Colombo",1
8,Driver 8,000000008V,LIC-000008,0770000008,"No 8, Driver Street, Colombo",1
9,Driver 9,000000009V,LIC-000009,0770000009,"No 9, Driver Street, Colombo",1
10,Driver 10,000000010V,LIC-000010,0770000010,"No 10, Driver Street, Colombo",1
11,Driver 11,000000011V,LIC-000011,0770000011,"No 11, Driver Street, Colombo",1
12,Driver 12,000000012V,LIC-000012,0770000012,"No 12, Driver Street, Colombo",1
13,Driver 13,000000013V,LIC-000013,0770000013,"No 13, Driver Street, Colombo",1
14,Driver 14,000000014V,LIC-000014,0770000014,"No 14, Driver Street, Colombo",1
15,Driver 15,000000015V,LIC-000015,0770000015,"No 15, Driver Street, Colombo",1
16,Driver 16,000000016V,LIC-000016,0770000016,"No 16, Driver Street, Colombo",1
17,Driver 17,000000017V,LIC-000017,0770000017,"No 17, Driver Street, Colombo",1
18,Driver 18,000000018V,LIC-000018,0770000018,"No 18, Driver Street, Colombo",1
19,Driver 19,000000019V,LIC-000019,0770000019,"No 19, Driver Street, Colombo",1
20,Driver 20,000000020V,LIC-000020,0770000020,"No 20, Driver Street, Colombo",1
21,Driver 21,000000021V,LIC-000021,0770000021,"No 21, Driver Street, Colombo",1
22,Driver 22,000000022V,LIC-000022,0770000022,"No 22, Driver Street, Colombo",1
23,Driver 23,000000023V,LIC-000023,0770000023,"No 23, Driver Street, Colombo",1
24,Driver 24,000000024V,LIC-000024,0770000024,"No 24, Driver Street, Colombo",1
25,Driver 25,000000025V,LIC-000025,0770000025,"No 25, Driver Street, Colombo",1
26,Driver 26,000000026V,LIC-000026,0770000026,"No 26, Driver Street, Colombo",1
27,Driver 27,000000027V,LIC-000027,0770000027,"No 27, Driver Street, Colombo",1
28,Driver 28,000000028V,LIC-000028,0770000028,"No 28, Driver Street, Colombo",1
29,Driver 29,000000029V,LIC-000029,0770000029,"No 29, Driver Street, Colombo",1
30,Driver 30,000000030V,LIC-000030,0770000030,"No 30, Driver Street, Colombo",1
31,Driver 31,000000031V,LIC-000031,0770000031,"No 31, Driver Street, Colombo",1
32,Driver 32,000000032V,LIC-000032,0770000032,"No 32, Driver Street, Colombo",1
33,Driver 33,000000033V,LIC-000033,0770000033,"No 33, Driver Street, Colombo",1
34,Driver 34,000000034V,LIC-000034,0770000034,"No 34, Driver Street, Colombo",1
35,Driver 35,000000035V,LIC-000035,0770000035,"No 35, Driver Street, Colombo",1
36,Driver 36,000000036V,LIC-000036,0770000036,"No 36, Driver Street, Colombo",1
37,Driver 37,000000037V,LIC-000037,0770000037,"No 37, Driver Street, Colombo",1
38,Driver 38,000000038V,LIC-000038,0770000038,"No 38, Driver Street, Colombo",1
39,Driver 39,000000039V,LIC-000039,0770000039,"No 39, Driver Street, Colombo",1
40,Driver 40,000000040V,LIC-000040,0770000040,"No 40, Driver Street, Colombo",1
41,Driver 41,000000041V,LIC-000041,0770000041,"No 41, Driver Street, Colombo",1
42,Driver 42,000000042V,LIC-000042,0770000042,"No 42, Driver Street, Colombo",1
43,Driver 43,000000043V,LIC-000043,0770000043,"No 43, Driver Street, Colombo",1
44,Driver 44,000000044V,LIC-000044,0770000044,"No 44, Driver Street, Colombo",1
45,Driver 45,000000045V,LIC-000045,0770000045,"No 45, Driver Street, Colombo",1
46,Driver 46,000000046V,LIC-000046,0770000046,"No 46, Driver Street, Colombo",1
47,Driver 47,000000047V,LIC-000047,0770000047,"No 47, Driver Street, Colombo",1
48,Driver 48,000000048V,LIC-000048,0770000048,"No 48, Driver Street, Colombo",1
49,Driver 49,000000049V,LIC-000049,0770000049,"No 49, Driver Street, Colombo",1
50,Driver 50,000000050V,LIC-000050,0770000050,"No 50, Driver Street, Colombo",1
51,Driver 51,000000051V,LIC-000051,0770000051,"No 51, Driver Street, Colombo",1
52,Driver 52,000000052V,LIC-000052,0770000052,"No 52, Driver Street, Colombo",1
53,Driver 53,000000053V,LIC-000053,0770000053,"No 53, Driver Street, Colombo",1
54,Driver 54,000000054V,LIC-000054,0770000054,"No 54, Driver Street, Colombo",1
55,Driver 55,000000055V,LIC-000055,0770000055,"No 55, Driver Street, Colombo",1
56,Driver 56,000000056V,LIC-000056,0770000056,"No 56, Driver Street, Colombo",1
57,Driver 57,000000057V,LIC-000057,0770000057,"No 57, Driver Street, Colombo",1
58,Driver 58,000000058V,LIC-000058,0770000058,"No 58, Driver Street, Colombo",1
59,Driver 59,000000059V,LIC-000059,0770000059,"No 59, Driver Street, Colombo",1
60,Driver 60,000000060V,LIC-000060,0770000060,"No 60, Driver Street, Colombo",1
61,Driver 61,000000061V,LIC-000061,0770000061,"No 61, Driver Street, Colombo",1
62,Driver 62,000000062V,LIC-000062,0770000062,"No 62, Driver Street, Colombo",1
63,Driver 63,000000063V,LIC-000063,0770000063,"No 63, Driver Street, Colombo",1
64,Driver 64,000000064V,LIC-000064,0770000064,"No 64, Driver Street, Colombo",1
65,Driver 65,000000065V,LIC-000065,0770000065,"No 65, Driver Street, Colombo",1
66,Driver 66,000000066V,LIC-000066,0770000066,"No 66, Driver Street, Colombo",1
67,Driver 67,000000067V,LIC-000067,0770000067,"No 67, Driver Street, Colombo",1
68,Driver 68,000000068V,LIC-000068,0770000068,"No 68, Driver Street, Colombo",1
69,Driver 69,000000069V,LIC-000069,0770000069,"No 69, Driver Street, Colombo",1
70,Driver 70,000000070V,LIC-000070,0770000070,"No 70, Driver Street, Colombo",1
71,Driver 71,000000071V,LIC-000071,0770000071,"No 71, Driver Street, Colombo",1
72,Driver 72,000000072V,LIC-000072,0770000072,"No 72, Driver Street, Colombo",1
73,Driver 73,000000073V,LIC-000073,0770000073,"No 73, Driver Street, Colombo",1
74,Driver 74,000000074V,LIC-000074,0770000074,"No 74, Driver Street, Colombo",1
75,Driver 75,000000075V,LIC-000075,0770000075,"No 75, Driver Street, Colombo",1
76,Driver 76,000000076V,LIC-000076,0770000076,"No 76, Driver Street, Colombo",1
77,Driver 77,000000077V,LIC-000077,0770000077,"No 77, Driver Street, Colombo",1
78,Driver 78,000000078V,LIC-000078,0770000078,"No 78, Driver Street, Colombo",1
79,Driver 79,000000079V,LIC-000079,0770000079,"No 79, Driver Street, Colombo",1
80,Driver 80,000000080V,LIC-000080,0770000080,"No 80, Driver Street, Colombo",1
81,Driver 81,000000081V,LIC-000081,0770000081,"No 81, Driver Street, Colombo",1
82,Driver 82,000000082V,LIC-000082,0770000082,"No 82, Driver Street, Colombo",1
83,Driver 83,000000083V,LIC-000083,0770000083,"No 83, Driver Street, Colombo",1
84,Driver 84,000000084V,LIC-000084,0770000084,"No 84, Driver Street, Colombo",1
85,Driver 85,000000085V,LIC-000085,0770000085,"No 85, Driver Street, Colombo",1
86,Driver 86,000000086V,LIC-000086,0770000086,"No 86, Driver Street, Colombo",1
87,Driver 87,000000087V,LIC-000087,0770000087,"No 87, Driver Street, Colombo",1
88,Driver 88,000000088V,LIC-000088,0770000088,"No 88, Driver Street, Colombo",1
89,Driver 89,000000089V,LIC-000089,0770000089,"No 89, Driver Street, Colombo",1
90,Driver 90,000000090V,LIC-000090,0770000090,"No 90, Driver Street, Colombo",1
91,Driver 91,000000091V,LIC-000091,0770000091,"No 91, Driver Street, Colombo",1
92,Driver 92,000000092V,LIC-000092,0770000092,"No 92, Driver Street, Colombo",1
93,Driver 93,000000093V,LIC-000093,0770000093,"No 93, Driver Street, Colombo",1
94,Driver 94,000000094V,LIC-000094,0770000094,"No 94, Driver Street, Colombo",1
95,Driver 95,000000095V,LIC-000095,0770000095,"No 95, Driver Street, Colombo",1
96,Driver 96,000000096V,LIC-000096,0770000096,"No 96, Driver Street, Colombo",1
97,Driver 97,000000097V,LIC-000097,0770000097,"No 97, Driver Street, Colombo",1
98,Driver 98,000000098V,LIC-000098,0770000098,"No 98, Driver Street, Colombo",1
99,Driver 99,000000099V,LIC-000099,0770000099,"No 99, Driver Street, Colombo",1
100,Driver 100,000000100V,LIC-000100,0770000100,"No 100, Driver Street, Colombo",1
101,Driver 101,000000101V,LIC-000101,0770000101,"No 101, Driver Street, Colombo",1
102,Driver 102,000000102V,LIC-000102,0770000102,"No 102, Driver Street, Colombo",1
103,Driver 103,000000103V,LIC-000103,0770000103,"No 103, Driver Street, Colombo",1
